sequence_id,country_id,institute_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR2184259,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184259/ERR2184259_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184259/ERR2184259_2.fastq.gz",S,S,S,S,S,S,S,S,R,S,R,S,S,PTAN-0058
ERR2184206,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184206/ERR2184206_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184206/ERR2184206_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0005
ERR2184202,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184202/ERR2184202_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184202/ERR2184202_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0001
ERR2184246,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184246/ERR2184246_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184246/ERR2184246_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,S,S,PTAN-0045
ERR2184204,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184204/ERR2184204_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184204/ERR2184204_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0003
ERR2184253,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184253/ERR2184253_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184253/ERR2184253_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,R,R,PTAN-0052
ERR2184220,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184220/ERR2184220_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184220/ERR2184220_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0019
ERR2184232,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184232/ERR2184232_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184232/ERR2184232_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0031
ERR2184226,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184226/ERR2184226_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184226/ERR2184226_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0025
ERR2184257,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184257/ERR2184257_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184257/ERR2184257_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0056
ERR2184215,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184215/ERR2184215_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184215/ERR2184215_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0014
ERR2184228,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184228/ERR2184228_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184228/ERR2184228_2.fastq.gz",S,S,R,S,S,S,S,S,S,S,S,S,S,PTAN-0027
ERR2184254,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184254/ERR2184254_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184254/ERR2184254_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0053
ERR2184212,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184212/ERR2184212_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184212/ERR2184212_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,R,R,PTAN-0011
ERR2184234,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184234/ERR2184234_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184234/ERR2184234_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0033
ERR2184236,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184236/ERR2184236_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184236/ERR2184236_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,S,S,PTAN-0035
ERR2184245,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184245/ERR2184245_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184245/ERR2184245_2.fastq.gz",R,S,S,S,R,I,R,R,R,S,S,R,R,PTAN-0044
ERR2184251,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184251/ERR2184251_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184251/ERR2184251_2.fastq.gz",S,S,R,S,S,S,S,S,S,S,S,S,S,PTAN-0050
ERR2184209,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184209/ERR2184209_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184209/ERR2184209_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0008
ERR2184224,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184224/ERR2184224_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184224/ERR2184224_2.fastq.gz",S,S,S,S,R,R,R,S,S,S,S,R,R,PTAN-0023
ERR2184217,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184217/ERR2184217_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184217/ERR2184217_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0016
ERR2184255,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184255/ERR2184255_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184255/ERR2184255_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0054
ERR2184264,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184264/ERR2184264_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184264/ERR2184264_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,NA,PTAN-0063
ERR2184247,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184247/ERR2184247_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184247/ERR2184247_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0046
ERR2184300,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184300/ERR2184300_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184300/ERR2184300_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0099
ERR2184231,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184231/ERR2184231_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184231/ERR2184231_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0030
ERR2184276,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184276/ERR2184276_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184276/ERR2184276_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0075
ERR2184229,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184229/ERR2184229_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184229/ERR2184229_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0028
ERR2184233,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184233/ERR2184233_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184233/ERR2184233_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0032
ERR2184261,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184261/ERR2184261_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184261/ERR2184261_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0060
ERR2184219,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184219/ERR2184219_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184219/ERR2184219_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0018
ERR2184295,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184295/ERR2184295_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184295/ERR2184295_2.fastq.gz",S,S,S,S,I,S,S,S,S,S,S,S,S,PTAN-0094
ERR2184225,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184225/ERR2184225_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184225/ERR2184225_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0024
ERR2184292,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184292/ERR2184292_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184292/ERR2184292_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0091
ERR2184269,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184269/ERR2184269_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184269/ERR2184269_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,NA,NA,PTAN-0068
ERR2184248,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184248/ERR2184248_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184248/ERR2184248_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0047
ERR2184280,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184280/ERR2184280_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184280/ERR2184280_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0079
ERR2184250,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184250/ERR2184250_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184250/ERR2184250_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0049
ERR2184265,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184265/ERR2184265_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184265/ERR2184265_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0064
ERR2184268,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184268/ERR2184268_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184268/ERR2184268_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0067
ERR2184297,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184297/ERR2184297_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184297/ERR2184297_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0096
ERR2184223,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184223/ERR2184223_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184223/ERR2184223_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,S,PTAN-0022
ERR2184289,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184289/ERR2184289_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184289/ERR2184289_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0088
ERR2184278,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184278/ERR2184278_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184278/ERR2184278_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0077
ERR2184285,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184285/ERR2184285_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184285/ERR2184285_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0084
ERR2184235,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184235/ERR2184235_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184235/ERR2184235_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,S,PTAN-0034
ERR2184237,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184237/ERR2184237_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184237/ERR2184237_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0036
ERR2184291,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184291/ERR2184291_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184291/ERR2184291_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0090
ERR2184271,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184271/ERR2184271_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184271/ERR2184271_2.fastq.gz",S,S,S,S,S,S,S,NA,S,S,S,S,S,PTAN-0070
ERR2184272,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184272/ERR2184272_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184272/ERR2184272_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,S,S,PTAN-0071
ERR2184293,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184293/ERR2184293_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184293/ERR2184293_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0092
ERR2184298,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184298/ERR2184298_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184298/ERR2184298_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0097
ERR2184296,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184296/ERR2184296_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184296/ERR2184296_2.fastq.gz",S,S,S,S,S,R,S,S,S,S,S,S,S,PTAN-0095
ERR2184290,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184290/ERR2184290_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184290/ERR2184290_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0089
ERR2184275,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184275/ERR2184275_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184275/ERR2184275_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0074
ERR2184284,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184284/ERR2184284_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184284/ERR2184284_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0083
ERR2184249,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184249/ERR2184249_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184249/ERR2184249_2.fastq.gz",S,S,S,NA,S,S,S,S,S,S,S,S,S,PTAN-0048
ERR2184277,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184277/ERR2184277_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184277/ERR2184277_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0076
ERR2184281,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184281/ERR2184281_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184281/ERR2184281_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0080
ERR2184282,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184282/ERR2184282_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184282/ERR2184282_2.fastq.gz",S,S,S,S,S,R,S,S,S,S,S,R,S,PTAN-0081
ERR2184222,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184222/ERR2184222_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184222/ERR2184222_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,S,PTAN-0021
ERR2184305,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184305/ERR2184305_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184305/ERR2184305_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0104
ERR2184279,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184279/ERR2184279_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184279/ERR2184279_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0078
ERR2184286,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184286/ERR2184286_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184286/ERR2184286_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,PTAN-0085
ERR2184216,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184216/ERR2184216_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184216/ERR2184216_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0015
